from,to,n
Borden County,Stonewall County,0
Borden County,Anderson County,0
Borden County,Duval County,0
Borden County,Comal County,0
Borden County,Hall County,0
Borden County,Hardeman County,0
Borden County,Collin County,0
Borden County,Motley County,0
Borden County,Concho County,0
Borden County,Dawson County,38
Borden County,Kent County,0
Borden County,San Augustine County,0
Borden County,Wood County,0
Borden County,Garza County,3
Borden County,Culberson County,0
Borden County,Henderson County,0
Borden County,Presidio County,0
Borden County,Reeves County,0
Borden County,Delta County,0
Borden County,Real County,0
Borden County,Gaines County,0
Borden County,Archer County,0
Borden County,Glasscock County,0
Borden County,Madison County,0
Borden County,Mitchell County,0
Borden County,Castro County,0
Borden County,Kleberg County,0
Borden County,Cottle County,0
Borden County,Kimble County,0
Borden County,Loving County,0
Borden County,Jones County,0
Borden County,Reagan County,0
Borden County,Hunt County,0
Borden County,Houston County,0
Borden County,Baylor County,0
Borden County,Leon County,0
Borden County,San Saba County,0
Borden County,Crosby County,0
Borden County,Howard County,2
Borden County,Upshur County,0
Borden County,Wilbarger County,0
Borden County,Waller County,0
Borden County,Kendall County,0
Borden County,Johnson County,0
Borden County,Cherokee County,0
Borden County,Pecos County,0
Borden County,Jefferson County,0
Borden County,Lavaca County,0
Borden County,Harrison County,0
Borden County,Jeff Davis County,0
Borden County,Midland County,10
Borden County,Tom Green County,0
Borden County,Bell County,0
Borden County,Wheeler County,0
Borden County,Runnels County,0
Borden County,Galveston County,0
Borden County,Bosque County,0
Borden County,Milam County,0
Borden County,Polk County,0
Borden County,Ward County,0
Borden County,Rusk County,0
Borden County,Val Verde County,0
Borden County,Fannin County,0
Borden County,Deaf Smith County,0
Borden County,Eastland County,0
Borden County,Lampasas County,0
Borden County,Newton County,0
Gonzales County,Gregg County,0
Gonzales County,Borden County,0
Gonzales County,Gonzales County,6434
Gonzales County,Caldwell County,250
Gonzales County,Willacy County,0
Gonzales County,Jim Wells County,0
Gonzales County,Kinney County,0
Gonzales County,Camp County,0
Gonzales County,Liberty County,7
Gonzales County,Haskell County,0
Gonzales County,San Jacinto County,0
Gonzales County,Wilson County,67
Gonzales County,DeWitt County,79
Gonzales County,Aransas County,0
Gonzales County,McMullen County,0
Gonzales County,Hutchinson County,0
Gonzales County,La Salle County,0
Gonzales County,Atascosa County,9
Gonzales County,Zapata County,0
Gonzales County,Brown County,0
Gonzales County,Mills County,0
Gonzales County,Donley County,0
Gonzales County,Guadalupe County,410
Gonzales County,Cooke County,0
Gonzales County,Parker County,0
Gonzales County,Randall County,0
Gonzales County,Burnet County,0
Gonzales County,Freestone County,0
Gonzales County,Crane County,0
Gonzales County,Bailey County,0
Gonzales County,Blanco County,0
Gonzales County,Ector County,0
Gonzales County,Hill County,0
Gonzales County,Refugio County,0
Gonzales County,Sabine County,0
Gonzales County,Denton County,0
Gonzales County,Goliad County,0
Gonzales County,Navarro County,0
Gonzales County,Comanche County,0
Gonzales County,Throckmorton County,0
Gonzales County,Uvalde County,0
